,Cluster
Austria,C1
Belgium,C1
Bulgaria,C1
Croatia,C1
Cyprus,C0
Czechia,C1
Denmark,C1
Estonia,C1
Finland,C1
France,C1
Germany,C1
Greece,C1
Hungary,C1
Ireland,C1
Italy,C1
Latvia,C1
Lithuania,C1
Luxembourg,C1
Malta,C1
Netherlands,C1
North Macedonia,C1
Norway,C1
Portugal,C1
Romania,C1
Serbia,C1
Slovakia,C1
Slovenia,C1
Spain,C1
Sweden,C1
Switzerland,C1
