,Code
C0,Cyprus 
C1,Austria Belgium Bulgaria Croatia Czechia Denmark Estonia Finland France Germany Greece Hungary Ireland Italy Latvia Lithuania Luxembourg Malta Netherlands North Macedonia Norway Portugal Romania Serbia Slovakia Slovenia Spain Sweden Switzerland 
